Zip Code,Address,Percentage Hispanic
60610,"102 W Division St, Chicago, IL",
60643,"11730 S Marshfield Ave, Chicago, IL",
60608,"1220 S Ashland Ave, Chicago, IL",
60605,"1224 S Wabash Ave, Chicago, IL",
60607,"1340 S Canal St, Chicago, IL",
60622,"1341 N Paulina St, Chicago, IL",
60617,"1655 E 95th St, Chicago, IL",
60626,"1763 W Howard St, Chicago, IL",
60639,"2520 N Narragansett Ave, Chicago, IL",
60614,"2550 N Clybourn Ave, Chicago, IL",
60657,"2940 N Ashland Ave, Chicago, IL",
60655,"3128 W 103rd St, Chicago, IL",
60618,"3400 N Western Ave, Chicago, IL",
60657,"3531 N Broadway St, Chicago, IL",
60618,"3570 N Elston Ave, Chicago, IL",
60613,"3630 N Southport Ave, Chicago, IL",
60609,"3644 S Archer Ave, Chicago, IL",
60661,"370 N Des Plaines St, Chicago, IL",
60630,"4042 W Foster Ave, Chicago, IL",
60610,"424 W Division St, Chicago, IL",
60618,"4250 N Lincoln Ave, Chicago, IL",
60613,"4355 N Sheridan Rd, Chicago, IL",
60616,"443 E 34th St, Chicago, IL",
60641,"4660 W Irving Park Rd, Chicago, IL",
60630,"4729 N Central Ave, Chicago, IL",
60656,"4734 N Cumberland Ave, Chicago, IL",
60632,"5320 S Pulaski Rd, Chicago, IL",
60640,"5343 N Broadway, Chicago, IL",
60654,"550 N State St, Chicago, IL",
60640,"5516 N Clark St, Chicago, IL",
60637,"6014 S Cottage Grove, Chicago, IL",
60638,"6107 S Archer Ave, Chicago, IL",
60634,"6430 W Irving Park Rd, Chicago, IL",
60656,"7342 W Foster Ave, Chicago, IL",
60649,"7530 S Stony Island Ave, Chicago, IL",
60620,"87 W 87th St, Chicago, IL",
60620,"9400 S Ashland Ave, Chicago, IL",